time,plant_id,plant_name,plant_code,inverter_id,inverter_name,inverter_brand,inverter_model,inverter_nominal_power_kw,power_kw,energy_kwh,intensity_cc_a,intensity_ca_a,voltage_cc_v,voltage_ca_v,uptime_h,temperature_c,readings
2022-11-09 14:20:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,27,inversor6,NULL,NULL,NULL,54.48,151.28,NULL,NULL,NULL,NULL,16608.0,NULL,1.0
2022-11-09 14:20:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,28,inversor7,NULL,NULL,NULL,52.74,154.93,NULL,NULL,NULL,NULL,15556.0,NULL,1.0
2022-11-09 14:20:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,26,inversor5,NULL,NULL,NULL,55.39,152.69,NULL,NULL,NULL,NULL,16580.0,NULL,1.0
2022-11-09 14:20:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,22,inversor1,NULL,NULL,NULL,58.41,147.74,NULL,NULL,NULL,NULL,2571.0,NULL,1.0
2022-11-09 14:20:00+01,6,Florida,SomEnergia_La_Florida,21,inversor2,NULL,NULL,NULL,0.0,4208522.1,NULL,NULL,NULL,NULL,13400.0,60,1.0
2022-11-09 14:20:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,100.89,550.8,NULL,NULL,NULL,NULL,28258.0,42,1.0
2022-11-09 02:20:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132141.5,NULL,NULL,NULL,NULL,13379.0,60,1.0
2022-11-09 14:20:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,108.42,579.3,NULL,NULL,NULL,NULL,28210.0,42,1.0
2022-11-09 14:20:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,58.02,150.68,NULL,NULL,NULL,NULL,16624.0,NULL,1.0
2022-11-09 14:20:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,25,inversor4,NULL,NULL,NULL,63.9,156.19,NULL,NULL,NULL,NULL,15785.0,NULL,1.0
2022-11-09 14:20:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,23,inversor2,NULL,NULL,NULL,56.75,152.65,NULL,NULL,NULL,NULL,16617.0,NULL,1.0
2022-11-09 14:20:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,244.37,1066.2,NULL,NULL,NULL,NULL,18250.0,42,1.0
2022-11-09 14:20:00+01,7,Matallana,SomEnergia_Exiom,30,inversor3,NULL,NULL,NULL,238.48,593.0,NULL,NULL,NULL,NULL,18379.0,42,1.0
2022-11-09 14:20:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,29,inversor8,NULL,NULL,NULL,49.48,150.5,NULL,NULL,NULL,NULL,16355.0,NULL,1.0
2022-11-09 14:20:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,0,586.9,NULL,NULL,NULL,NULL,17877.0,42,1.0
2022-11-09 14:20:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,212.26,592.1,NULL,NULL,NULL,NULL,18344.0,42,1.0
2022-11-09 14:15:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,284.15,565.1,NULL,NULL,NULL,NULL,18344.0,NULL,1.0
2022-11-09 14:15:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,0,563.6,NULL,NULL,NULL,NULL,17877.0,42,1.0
2022-11-09 14:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,29,inversor8,NULL,NULL,NULL,28.66,146.06,NULL,NULL,NULL,NULL,16355.0,NULL,1.0
2022-11-09 14:15:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,283.31,1066.2,NULL,NULL,NULL,NULL,18250.0,42,1.0
2022-11-09 14:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,23,inversor2,NULL,NULL,NULL,28.48,148.39,NULL,NULL,NULL,NULL,16617.0,NULL,1.0
2022-11-09 14:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,28.16,146.56,NULL,NULL,NULL,NULL,16624.0,NULL,1.0
2022-11-09 14:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,25,inversor4,NULL,NULL,NULL,28.59,151.87,NULL,NULL,NULL,NULL,15785.0,NULL,1.0
2022-11-09 14:15:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,115.75,564.9,NULL,NULL,NULL,NULL,28210.0,42,1.0
2022-11-09 14:15:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,112.65,540.4,NULL,NULL,NULL,NULL,28258.0,42,1.0
2022-11-09 02:15:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132121.6,NULL,NULL,NULL,NULL,13379.0,60,1.0
2022-11-09 14:15:00+01,7,Matallana,SomEnergia_Exiom,30,inversor3,NULL,NULL,NULL,374.56,565.8,NULL,NULL,NULL,NULL,18378.0,42,1.0
2022-11-09 14:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,26,inversor5,NULL,NULL,NULL,29.56,148.3,NULL,NULL,NULL,NULL,16580.0,NULL,1.0
2022-11-09 14:15:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,27,inversor6,NULL,NULL,NULL,28.11,147.17,NULL,NULL,NULL,NULL,16607.0,NULL,1.0
2022-11-09 14:15:00+01,1,Alcolea,SomEnergia_Alcolea,16,inversor1,NULL,NULL,NULL,0.0,564.0,NULL,NULL,NULL,NULL,28298.0,21,1.0
