plant,signal,metric,device,device_type,device_uuid,device_parent,signal_uuid
Llanillos,intensitat,,stringbox_SCB18,string,7e3d5f82-01b8-46be-882f-01e95057c677,inverter1,133f9036-2c08-4010-8d59-628540926a6b
Llanillos,Idc_modul,,module1,module,82f121fb-735e-40e1-9e79-5acb42681ca5,inverter1,3bd3d7f8-fc37-427e-8919-57853bcb12c6
Llanillos,temperatura_mitjana_modul,,module1,module,82f121fb-735e-40e1-9e79-5acb42681ca5,inverter1,7fc2846b-50fb-4428-a673-e9b96a0ce927
Llanillos,Ir_BT_modul,,module1,module,82f121fb-735e-40e1-9e79-5acb42681ca5,inverter1,9e277b57-bc4e-440e-9734-55613ce8ec3f
Llanillos,Is_BT_modul,,module1,module,82f121fb-735e-40e1-9e79-5acb42681ca5,inverter1,a839530c-a9ab-425b-90f1-50f9537611a0
Llanillos,It_BT_modul,,module1,module,82f121fb-735e-40e1-9e79-5acb42681ca5,inverter1,95f2ee15-6047-4146-aa7b-b4946a7b8602
Llanillos,potencia_activa_modul,,module1,module,82f121fb-735e-40e1-9e79-5acb42681ca5,inverter1,f0bcd73e-8c25-4aff-b7ad-017afe5a1ddc
Llanillos,energia_modul,,module1,module,82f121fb-735e-40e1-9e79-5acb42681ca5,inverter1,eadfbedc-e25b-4e64-bba1-9d53a0412d97
Llanillos,Idc_modul,,module2,module,75cd90e0-12d4-43bf-a7e9-1eb3841c2111,inverter1,a27a7563-6f0d-4e5c-9c10-0e0e6c99075b
Llanillos,temperatura_mitjana_modul,,module2,module,75cd90e0-12d4-43bf-a7e9-1eb3841c2111,inverter1,d243474d-ced0-44f5-9cf2-f187898b1ee4
Llanillos,Ir_BT_modul,,module2,module,75cd90e0-12d4-43bf-a7e9-1eb3841c2111,inverter1,77956917-456f-4323-8307-75b367dad053
Llanillos,Is_BT_modul,,module2,module,75cd90e0-12d4-43bf-a7e9-1eb3841c2111,inverter1,b76553dd-b5af-47cc-b8e8-7d1b4c24768d
Llanillos,It_BT_modul,,module2,module,75cd90e0-12d4-43bf-a7e9-1eb3841c2111,inverter1,f4e3ca17-da73-4264-9228-68e52aba9ba3
Llanillos,potencia_activa_modul,,module2,module,75cd90e0-12d4-43bf-a7e9-1eb3841c2111,inverter1,8239733c-0637-4568-8cb8-7db0bf1d495c
Llanillos,energia_modul,,module2,module,75cd90e0-12d4-43bf-a7e9-1eb3841c2111,inverter1,d7e0add0-393f-4cc9-9013-23504cf4e53b
Llanillos,Idc_modul,,module3,module,d5be2bdb-0194-417a-adf3-2c9ad5454a4e,inverter1,04ba3d1a-5359-4216-96e0-f558bc7edaf7
Llanillos,temperatura_mitjana_modul,,module3,module,d5be2bdb-0194-417a-adf3-2c9ad5454a4e,inverter1,5423056f-d0ed-4339-9058-05f381cf446f
Llanillos,Ir_BT_modul,,module3,module,d5be2bdb-0194-417a-adf3-2c9ad5454a4e,inverter1,668a3b25-df05-4286-a15b-fab708632574
Llanillos,Is_BT_modul,,module3,module,d5be2bdb-0194-417a-adf3-2c9ad5454a4e,inverter1,e1bd585c-9e91-45e7-8520-6d813906ee98
Llanillos,It_BT_modul,,module3,module,d5be2bdb-0194-417a-adf3-2c9ad5454a4e,inverter1,210b21b5-10ec-4114-9880-1d4207fe8629
Llanillos,potencia_activa_modul,,module3,module,d5be2bdb-0194-417a-adf3-2c9ad5454a4e,inverter1,2596459f-c86d-485e-8bd7-950014e98f3a
Llanillos,energia_modul,,module3,module,d5be2bdb-0194-417a-adf3-2c9ad5454a4e,inverter1,0e1079ac-5133-455a-ad51-684c3be54c1e
Llanillos,Idc_modul,,module4,module,904d2464-6d88-4a77-9503-a6467c34f50e,inverter1,caa9cddb-92b8-4c75-ab01-7660e94593a3
Llanillos,temperatura_mitjana_modul,,module4,module,904d2464-6d88-4a77-9503-a6467c34f50e,inverter1,ac2498bb-8786-41ab-911a-e46e76c29e89
Llanillos,Ir_BT_modul,,module4,module,904d2464-6d88-4a77-9503-a6467c34f50e,inverter1,ba12cf09-44a5-45ce-9d9a-0c00664219b4
Llanillos,Is_BT_modul,,module4,module,904d2464-6d88-4a77-9503-a6467c34f50e,inverter1,0b44d34b-ae7f-40bf-98e8-2a5c22345f86
Llanillos,It_BT_modul,,module4,module,904d2464-6d88-4a77-9503-a6467c34f50e,inverter1,2c5a0e14-77d2-4ef2-9a2e-2f1fe48664ca
Llanillos,potencia_activa_modul,,module4,module,904d2464-6d88-4a77-9503-a6467c34f50e,inverter1,e945e3d5-8ce5-4a35-ade5-3951c10d7e1a
Llanillos,energia_modul,,module4,module,904d2464-6d88-4a77-9503-a6467c34f50e,inverter1,2b349cd2-23e9-484c-b0cf-299e9ac8066b
Llanillos,Idc_modul,,module5,module,9c0c7332-4431-4097-9e27-dbbd937b3ee8,inverter1,0ec6eb63-68ea-4d88-8203-531c026aecc1
Llanillos,temperatura_mitjana_modul,,module5,module,9c0c7332-4431-4097-9e27-dbbd937b3ee8,inverter1,e926f3ea-7171-4692-9acb-964cc2a2761b
Llanillos,Ir_BT_modul,,module5,module,9c0c7332-4431-4097-9e27-dbbd937b3ee8,inverter1,25067ef2-b039-428e-a0a0-ce690f62da73
Llanillos,Is_BT_modul,,module5,module,9c0c7332-4431-4097-9e27-dbbd937b3ee8,inverter1,658073e3-2633-45db-997f-dfb0dd37e158
Llanillos,It_BT_modul,,module5,module,9c0c7332-4431-4097-9e27-dbbd937b3ee8,inverter1,2e780cb3-1fb3-4625-a698-770e122a5ff1
